"x"
"                                                                                                                                                                                                                                                               "
"Angélica Aragon, edith gonzales                                                                                                                                                                                                                                "
"Alejandro Fernández, Yuri                                                                                                                                                                                                                                      "
"Los beatles                                                                                                                                                                                                                                                    "
"barbara mori y sergio sendel                                                                                                                                                                                                                                   "
"pedro infante miguelvacebes mejia.,boleros entre otros..                                                                                                                                                                                                       "
"Brad Pitt                                                                                                                                                                                                                                                      "
"yuri                                                                                                                                                                                                                                                           "
"Los que salen en hoy                                                                                                                                                                                                                                           "
"Angeline Jolie                                                                                                                                                                                                                                                 "
"Romeo Santos Luis Miguel Juan Gabriel                                                                                                                                                                                                                          "
