"x"
"                                                                                                                                                                                                                                                               "
"Los deportivos y noticieros                                                                                                                                                                                                                                    "
"los de comida y novelas                                                                                                                                                                                                                                        "
"telenovelas                                                                                                                                                                                                                                                    "
"deportes                                                                                                                                                                                                                                                       "
"novelas series                                                                                                                                                                                                                                                 "
"Hoy                                                                                                                                                                                                                                                            "
"Ventaneando, Hoy, novelas                                                                                                                                                                                                                                      "
"los de concursos                                                                                                                                                                                                                                               "
"Los simpson, las novelas y los programas musicales                                                                                                                                                                                                             "
"las telenovelas                                                                                                                                                                                                                                                "
"de espectáculo                                                                                                                                                                                                                                                 "
"las novelas                                                                                                                                                                                                                                                    "
"MasterChef, novelas, etc                                                                                                                                                                                                                                       "
"Novela                                                                                                                                                                                                                                                         "
"Programas de espectáculos como hoy del canal de las estrellas                                                                                                                                                                                                  "
"Los deportes, noticieros y películas                                                                                                                                                                                                                           "
"venga la alegria.                                                                                                                                                                                                                                              "
"Paty Chapoy                                                                                                                                                                                                                                                    "
"noticieros                                                                                                                                                                                                                                                     "
"novelas                                                                                                                                                                                                                                                        "
"los programas de espectáculos                                                                                                                                                                                                                                  "
"Paty Chapoy, Sabadazo, noticiero Javier Alatorre                                                                                                                                                                                                               "
"los de espectáculos                                                                                                                                                                                                                                            "
"novelas, musicales, cocina, moda, chismes de artistas                                                                                                                                                                                                          "
"películas                                                                                                                                                                                                                                                      "
"los noticieros                                                                                                                                                                                                                                                 "
"me gustan las noticias de la mañana                                                                                                                                                                                                                            "
"telenovela                                                                                                                                                                                                                                                     "
"hoy                                                                                                                                                                                                                                                            "
"los que te ponen a pensar                                                                                                                                                                                                                                      "
"las telenovelas y Ventaneando                                                                                                                                                                                                                                  "
"las películas                                                                                                                                                                                                                                                  "
"los de deportes                                                                                                                                                                                                                                                "
"variados                                                                                                                                                                                                                                                       "
"el noticiero de Carlos Loret de mola                                                                                                                                                                                                                           "
"el programa hoy, las telenovelas                                                                                                                                                                                                                               "
"la novelas                                                                                                                                                                                                                                                     "
"Hechos                                                                                                                                                                                                                                                         "
"la hora pico                                                                                                                                                                                                                                                   "
"los de concursos y las telenovelas                                                                                                                                                                                                                             "
"los que me ponen a pensar                                                                                                                                                                                                                                      "
