"x"
"                                                                                                                                                                                                                                                               "
"cocinar                                                                                                                                                                                                                                                        "
"hacer quehacer                                                                                                                                                                                                                                                 "
"tarea                                                                                                                                                                                                                                                          "
"estudiar                                                                                                                                                                                                                                                       "
"hacer mis tareas                                                                                                                                                                                                                                               "
"hacer la limpiesa en casa                                                                                                                                                                                                                                      "
"pues ayudo en los labores domesticos                                                                                                                                                                                                                           "
"la limpieza de la casa                                                                                                                                                                                                                                         "
"hago la comida él que hacer.                                                                                                                                                                                                                                   "
"Me gusta mucho cocinar y hacer postres                                                                                                                                                                                                                         "
"hacer de comer...                                                                                                                                                                                                                                              "
"preparar pedidos y hacer nuevos guisos                                                                                                                                                                                                                         "
"Realizar los labores de limpieza, me entretiene mucho                                                                                                                                                                                                          "
"hacer el quehacer y comidas                                                                                                                                                                                                                                    "
"lavar,hacer de comer.                                                                                                                                                                                                                                          "
"él que hacer , la comida                                                                                                                                                                                                                                       "
"cenar y haber algunas labores domésticas                                                                                                                                                                                                                       "
"que hacerse domésticos                                                                                                                                                                                                                                         "
"hacer limpieza                                                                                                                                                                                                                                                 "
"hacer tarea                                                                                                                                                                                                                                                    "
"hacer la limpiesa en la casa                                                                                                                                                                                                                                   "
"trabajar                                                                                                                                                                                                                                                       "
"caricaturas con mis hijos o pelissen dvd                                                                                                                                                                                                                       "
"estudiar para mi titulación                                                                                                                                                                                                                                    "
"hacer tarea y estudiar                                                                                                                                                                                                                                         "
"cocinar, jugar juegos de mesa                                                                                                                                                                                                                                  "
"estudiar diseño digital o 3d                                                                                                                                                                                                                                   "
"bailar y cantar                                                                                                                                                                                                                                                "
"Platico con mi familia y me acuesto a descansar                                                                                                                                                                                                                "
"regularización de niños de primaria atender su negocio labores domésticas                                                                                                                                                                                      "
"mirar por la ventana                                                                                                                                                                                                                                           "
"leer el periódico                                                                                                                                                                                                                                              "
"Baile y hacer tarea                                                                                                                                                                                                                                            "
"dormir y hacer tarea                                                                                                                                                                                                                                           "
"Ver televisión                                                                                                                                                                                                                                                 "
"hacer labores domésticas                                                                                                                                                                                                                                       "
"Tejer y cuidar a mis nietos                                                                                                                                                                                                                                    "
"que haceres domésticos y bailar en mi cuarto                                                                                                                                                                                                                   "
"labores domésticas.                                                                                                                                                                                                                                            "
"hacer la comida y las labores lavar etc.                                                                                                                                                                                                                       "
"Hacer el quehacer                                                                                                                                                                                                                                              "
"comida y labores domésticas                                                                                                                                                                                                                                    "
