"x"
"                                                                                                                                                                                                                                                               "
"estudio y trabajo                                                                                                                                                                                                                                              "
"estudiante y trabaja                                                                                                                                                                                                                                           "
"asistente de centro comercial                                                                                                                                                                                                                                  "
"pensionada                                                                                                                                                                                                                                                     "
"Jubilado                                                                                                                                                                                                                                                       "
"Militar                                                                                                                                                                                                                                                        "
"empleado                                                                                                                                                                                                                                                       "
"empleada                                                                                                                                                                                                                                                       "
"comerciante                                                                                                                                                                                                                                                    "
"vendedor                                                                                                                                                                                                                                                       "
"ejecutivo bancario                                                                                                                                                                                                                                             "
"estudiante y empleado en ternium                                                                                                                                                                                                                               "
"mesera                                                                                                                                                                                                                                                         "
"Jubilado y Sastre en su tiempo libre                                                                                                                                                                                                                           "
"estudio la prepa y trabajo en una paqueteria                                                                                                                                                                                                                   "
