"x"
"4 semestre de psicología                                                                                                                                                                                                                                       "
"                                                                                                                                                                                                                                                               "
"Tercer año de preparatoria                                                                                                                                                                                                                                     "
"universidad                                                                                                                                                                                                                                                    "
"prepa                                                                                                                                                                                                                                                          "
"5 semestre de programación                                                                                                                                                                                                                                     "
"enfermería                                                                                                                                                                                                                                                     "
"Derecho                                                                                                                                                                                                                                                        "
"Universidad                                                                                                                                                                                                                                                    "
"4 trimestre                                                                                                                                                                                                                                                    "
"ingenieria bioquimica                                                                                                                                                                                                                                          "
"solo preparatoria                                                                                                                                                                                                                                              "
"estoy por terminar la preparatoria                                                                                                                                                                                                                             "
"sicología                                                                                                                                                                                                                                                      "
"tercer semestre                                                                                                                                                                                                                                                "
"Licenciatura en Informática                                                                                                                                                                                                                                    "
"Preparatoria                                                                                                                                                                                                                                                   "
"preparatoria                                                                                                                                                                                                                                                   "
"medicina                                                                                                                                                                                                                                                       "
"solo universidad                                                                                                                                                                                                                                               "
"estoy por terminar mi preparatoria y pasar a la universidad                                                                                                                                                                                                    "
"8 cuatrimestre de derecho                                                                                                                                                                                                                                      "
"5 semestre                                                                                                                                                                                                                                                     "
"ING. industrial                                                                                                                                                                                                                                                "
"ingeniería                                                                                                                                                                                                                                                     "
"arquitectura                                                                                                                                                                                                                                                   "
"ciencias sociales                                                                                                                                                                                                                                              "
"Pedagogía                                                                                                                                                                                                                                                      "
"conalep                                                                                                                                                                                                                                                        "
"ultimo semestre de preparatoria                                                                                                                                                                                                                                "
"carrera de derecho                                                                                                                                                                                                                                             "
"5 semestre de preparatoria                                                                                                                                                                                                                                     "
"vocacional                                                                                                                                                                                                                                                     "
"sociologia                                                                                                                                                                                                                                                     "
"ingeniería eléctrica                                                                                                                                                                                                                                           "
"Preparatoria abierta                                                                                                                                                                                                                                           "
"ortodoncia                                                                                                                                                                                                                                                     "
"Prepa                                                                                                                                                                                                                                                          "
"Licenciatura en derecho                                                                                                                                                                                                                                        "
"Cch oriente                                                                                                                                                                                                                                                    "
"Ingeniería                                                                                                                                                                                                                                                     "
"licenciado                                                                                                                                                                                                                                                     "
"Informática                                                                                                                                                                                                                                                    "
"comercio aduanal                                                                                                                                                                                                                                               "
"estudiante                                                                                                                                                                                                                                                     "
"Enfermería                                                                                                                                                                                                                                                     "
"Tronco común                                                                                                                                                                                                                                                   "
"Diseño                                                                                                                                                                                                                                                         "
"Solo universidad                                                                                                                                                                                                                                               "
"solo prepa                                                                                                                                                                                                                                                     "
"contabilidad                                                                                                                                                                                                                                                   "
"pedagogía                                                                                                                                                                                                                                                      "
"bachillerato                                                                                                                                                                                                                                                   "
"4 semestre                                                                                                                                                                                                                                                     "
"3 año                                                                                                                                                                                                                                                          "
"ingeniero                                                                                                                                                                                                                                                      "
"Voca 3                                                                                                                                                                                                                                                         "
"Ingeniería Automotrices                                                                                                                                                                                                                                        "
"Esime                                                                                                                                                                                                                                                          "
"Ingeniería mecánica                                                                                                                                                                                                                                            "
"Licenciatura en preescolar                                                                                                                                                                                                                                     "
"prepa abierta                                                                                                                                                                                                                                                  "
"Bachillerato, informática                                                                                                                                                                                                                                      "
